participant_age,participant_number,response_id,response__uuid,age_range,rounded_age,age_float,gender,lan_spoken,scenario_order,fault_order,cause_order,gender_order,question,full_response
3,1,244081,4dbe277e-133c-459a-a2a5-6c97a6903d41,1095-1460,1110,3.0411,m,en,wall_first,fault_second,cause_first,girl,cause,suzy
3,1,244081,4dbe277e-133c-459a-a2a5-6c97a6903d41,1095-1460,1110,3.0411,m,en,wall_first,fault_second,cause_first,girl,lexical,suzy
3,1,244081,4dbe277e-133c-459a-a2a5-6c97a6903d41,1095-1460,1110,3.0411,m,en,wall_first,fault_second,cause_first,girl,fault,suzy
3,1,244081,4dbe277e-133c-459a-a2a5-6c97a6903d41,1095-1460,1110,3.0411,m,en,wall_first,fault_second,cause_first,boy,cause,sophia
3,1,244081,4dbe277e-133c-459a-a2a5-6c97a6903d41,1095-1460,1110,3.0411,m,en,wall_first,fault_second,cause_first,boy,lexical,sophia
3,1,244081,4dbe277e-133c-459a-a2a5-6c97a6903d41,1095-1460,1110,3.0411,m,en,wall_first,fault_second,cause_first,boy,fault,sophia
3,2,255617,dd98aff4-2b17-4290-bdcc-8e7e0a9f810c,1095-1460,1110,3.0411,f,en,wall_first,fault_second,cause_first,boy,cause,suzy
3,2,255617,dd98aff4-2b17-4290-bdcc-8e7e0a9f810c,1095-1460,1110,3.0411,f,en,wall_first,fault_second,cause_first,boy,lexical,suzy
3,2,255617,dd98aff4-2b17-4290-bdcc-8e7e0a9f810c,1095-1460,1110,3.0411,f,en,wall_first,fault_second,cause_first,boy,fault,suzy
3,2,255617,dd98aff4-2b17-4290-bdcc-8e7e0a9f810c,1095-1460,1110,3.0411,f,en,wall_first,fault_second,cause_first,girl,cause,bobby
3,2,255617,dd98aff4-2b17-4290-bdcc-8e7e0a9f810c,1095-1460,1110,3.0411,f,en,wall_first,fault_second,cause_first,girl,lexical,bobby
3,2,255617,dd98aff4-2b17-4290-bdcc-8e7e0a9f810c,1095-1460,1110,3.0411,f,en,wall_first,fault_second,cause_first,girl,fault,bobby
3,3,270287,a0560263-060c-4f18-a49e-a4f289f32c98,1095-1460,1110,3.0411,f,en,wall_second,fault_first,cause_second,girl,fault,sophia
3,3,270287,a0560263-060c-4f18-a49e-a4f289f32c98,1095-1460,1110,3.0411,f,en,wall_second,fault_first,cause_second,girl,lexical,sophia
3,3,270287,a0560263-060c-4f18-a49e-a4f289f32c98,1095-1460,1110,3.0411,f,en,wall_second,fault_first,cause_second,girl,cause,bobby
3,3,270287,a0560263-060c-4f18-a49e-a4f289f32c98,1095-1460,1110,3.0411,f,en,wall_second,fault_first,cause_second,boy,fault,andy
3,3,270287,a0560263-060c-4f18-a49e-a4f289f32c98,1095-1460,1110,3.0411,f,en,wall_second,fault_first,cause_second,boy,lexical,andy
3,3,270287,a0560263-060c-4f18-a49e-a4f289f32c98,1095-1460,1110,3.0411,f,en,wall_second,fault_first,cause_second,boy,cause,suzy
3,4,241469,e55e588a-c6ed-4e2e-b93e-bfc06d06a1d1,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,girl,fault,Andy.
3,4,241469,e55e588a-c6ed-4e2e-b93e-bfc06d06a1d1,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,girl,cause,Andy.
3,4,241469,e55e588a-c6ed-4e2e-b93e-bfc06d06a1d1,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,girl,lexical,Andy. Andy.
3,4,241469,e55e588a-c6ed-4e2e-b93e-bfc06d06a1d1,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,boy,fault,Sophia.
3,4,241469,e55e588a-c6ed-4e2e-b93e-bfc06d06a1d1,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,boy,cause,Sophia.
3,4,241469,e55e588a-c6ed-4e2e-b93e-bfc06d06a1d1,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,boy,lexical,Sophia.
3,5,241581,16bd18a8-2981-4b87-8a35-7fc73b895d40,1095-1460,1140,3.1233,f,en,wall_second,fault_second,cause_second,boy,lexical,sophia
3,5,241581,16bd18a8-2981-4b87-8a35-7fc73b895d40,1095-1460,1140,3.1233,f,en,wall_second,fault_second,cause_second,boy,cause,sophia
3,5,241581,16bd18a8-2981-4b87-8a35-7fc73b895d40,1095-1460,1140,3.1233,f,en,wall_second,fault_second,cause_second,boy,fault,sophia
3,5,241581,16bd18a8-2981-4b87-8a35-7fc73b895d40,1095-1460,1140,3.1233,f,en,wall_second,fault_second,cause_second,girl,lexical,the boy
3,5,241581,16bd18a8-2981-4b87-8a35-7fc73b895d40,1095-1460,1140,3.1233,f,en,wall_second,fault_second,cause_second,girl,cause,the boy
3,5,241581,16bd18a8-2981-4b87-8a35-7fc73b895d40,1095-1460,1140,3.1233,f,en,wall_second,fault_second,cause_second,girl,fault,the boy
3,6,243422,20fd8d46-b643-418b-9eb7-db25e32e76bb,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,boy,fault,suzy
3,6,243422,20fd8d46-b643-418b-9eb7-db25e32e76bb,1095-1460,1140,3.1233,f,en,wall_first,fault_first,cause_first,boy,cause,suzy
